"",,,,,SINGLE,,,,,,,
"",YEAR-,,,,MEET,,YEAR-,,,,,
YEAR,ROUND INC/DEC,,SEASONAL,INC/DEC,OPEN,INC/DEC,ROUND,INC/DEC,SEASONAL,,NON-,
"",ATHLETE,,ATHLETE,,WATER,,CLUB/,,CLUB,INC/DEC,ATHLETE,INC/DEC
"",,,,,ATHLETE,,ORG.,,,,,
2016,"336,026 -.3%",,"23,858",-5.8%,326,-8.4%,"3,011",1.2%,129,-9.8%,"38,375",2.6%
2015,"337,084 -.8%",,"25,326",-8.5%,356,12.7%,"2,975",.2%,143,13.5%,"37,399",2.4%
2014,"339,903 -.2%",,"27,683",-6.3%,316,-6.2%,"2,970",1.9%,126,0%,"36,521",5.9%
2013*,"340,568 13.2%",,"29,555",-1.7%,337,127.7%,"2,915",1.1%,126,.8%,"34,480",7.7%
2012,"300,884 3.3%",,"30,074",-.2%,148,-12.9%,"2,884",2.8%,125,4.2%,"32,013",2.8%
2011,"291,182 1.5%",,"30,133",-8.8%,170,-60.5%,"2,805",2.0%,120,5.3%,"31,154",2.0%
2010,"286,900 0.3%",,"33,027",-5.3%,430,68.0%,"2,750",2.6%,114,4.6%,"30,554",3.4%
2009*,"286,147 11.3%",,"34,866",3.5%,256,41.4%,"2,681",-0.7%,109,-10.7%,"29,557",3.9%
2008,"257,180 2.2%",,"33,672",-4.8%,181,-8.1%,"2,701",0.3%,122,1.6%,"28,447",-0.9%
2007,"251,547 0.9%",,"35,388",0.4%,197,109.6%,"2,692",-0.7%,120,26.3%,"28,695",1.0%
2006,"249,326 0.1%",,"35,253",-2.7%,94,32.4%,"2,712",-0.4%,95,-11.2%,"28,416",2.0%
2005*,"249,182 7.3%",,"36,249",-2.0%,71,,"2,724",-0.4%,107,-6.1%,"27,847",2.0%
2004,"232,361 -1.1%",,"36,970",-0.6%,0,,"2,736",-3.5%,114,7.5%,"27,314",-1.2%
2003,"235,013 3.0%",,"37,176",-2.1%,0,,"2,834",4.0%,106,-9.4%,"27,652",5.1%
2002,"228,216 -1.7%",,"37,978",0.7%,0,,"2,724",-2.1%,117,2.6%,"26,322",0.7%
2001*,"232,253 4.9%",,"37,715",-3.8%,0,,"2,783",1.0%,114,-3.4%,"26,151",1.6%
2000,"221,352 1.9%",,"39,223",5.3%,0,,"2,755",0.1%,118,-5.6%,"25,732",-0.5%
1999,"217,325 1.5%",,"37,237",-8.1%,0,,"2,753",0.4%,125,-3.1%,"25,852",-2.2%
1998,"214,206 1.2%",,"40,518",2.5%,0,,"2,765",2.7%,129,12.2%,"26,426",1.7%
1997*,"211,728 8.1%",,"39,525",-1.9%,0,,"2,692",2.8%,115,-18.4%,"25,973",4.8%
1996,"195,853 2.1%",,"40,300",16.1%,0,,"2,618",0.2%,141,11.0%,"24,788",0.2%
1995,"191,855 0.7%",,"34,703",-4.3%,0,,"2,612",2.2%,127,42.6%,"24,740",2.6%
1994,"190,559 1.0%",,"36,251",5.8%,0,,"2,556",-0.6%,89,,"24,124",-0.2%
1993*,"188,647 10.1%",,"34,262",2.9%,0,,"2,571",4.8%,0,,"24,167",11.2%
1992,"171,346 3.5%",,"33,309",28.8%,0,,"2,453",0.7%,0,,"21,726",3.3%
"M1E9M91BERS1H6I5P, 6H22ISTOR2Y.3%",,,"25,867",9.7%,0,,"2,435",2.4%,0,,"21,040",5.8%
1990,"161,885 2.0%",,"23,579",13.5%,0,,"2,379",-2.0%,0,,"19,885",-0.7%
1989*,"158,681 3.8%",,"20,768",14.9%,0,,"2,428",0.2%,0,,"20,020",2.7%
1988,"152,937 -3.8%",,"18,077",30.0%,0,,"2,422",-2.6%,0,,"19,468",2.6%
1987,"159,039 -6.3%",,"13,905",,0,,"2,487",-4.0%,0,,"18,972",11.0%
1986,"169,676",,0,,0,,"2,590",,0,,"17,085",
LSC,LSC,2015,,2016,INC./
CODE,NAME,,,,DEC.
AD Adirondack,,"2,192",,2125,-67
AK Alaska,,"2,346",,2147,-199
AM Allegheny Mountain,,"3,409",,3507,98
AR Arkansas,,"1,774",,1723,-51
AZ Arizona,,"5,383",,5392,9
BD Border,,781,,836,55
CA Southern California,,"23,209",,22471,-738
CC Central California,,"1,968",,1748,-220
CO Colorado,,"7,560",,7180,-380
CT Connecticut,,"5,843",,5919,76
FG Florida Gold Coast,,"5,338",,5300,-38
FL Florida,,"10,971",,10881,-90
GA Georgia,,"7,747",,7571,-176
GU Gulf,,"8,287",,9066,779
HI Hawaiian,,"3,281",,3235,-46
IA Iowa,,"2,692",,2673,-19
IE Inland Empire,,"1,456",,1314,-142
IL Illinois,,"18,983",,18927,-56
IN Indiana,,"10,507",,10605,98
KY Kentucky,,"2,927",,2869,-58
LA Louisiana,,"3,193",,3181,-12
LE Lake Erie,,"4,005",,3826,-179
MA Middle Atlantic,,"11,254",,11153,-101
"YEMAD R-RMOarUylaNndD ATHLETE MEMBER5S,0H63IP",,,,5235,172
ME Maine,,"1,158",,1128,-30
MI Michigan,,"9,335",,9172,-163
MN Minnesota,,"8,552",,8555,3
MR Metropolitan,,"11,047",,11133,86
MS Mississippi,,"1,494",,1487,-7
MT Montana,,"1,066",,1116,50
MV Missouri Valley,,"4,954",,4860,-94
LSC,,LSC,2015,2016,INC./
CODE,,NAME,,,DEC.
MW,Midwestern,,"2,675",2814,139
NC,North Carolina,,"10,054",9801,-253
ND,North Dakota,,"1,146",1180,34
NE,New England,,"8,960",9138,178
NI,Niagara,,"5,796",5620,-176
NJ,New Jersey,,"9,634",9631,-3
NM,New Mexico,,"2,246",2177,-69
NT,North Texas,,"6,368",6806,438
OH,Ohio,,"6,218",6514,296
OK,Oklahoma,,"1,837",1876,39
OR,Oregon,,"5,978",6037,59
OZ,Ozark,,"2,950",3109,159
PC,Pacific,,"17,619",17053,-566
PN,Pacific Northwest,,"6,532",6637,105
PV,Potomac Valley,,"11,542",11774,232
SC,South Carolina,,"2,981",3097,116
SD,South Dakota,,"1,205",1193,-12
SE,Southeastern,,"7,926",7737,-189
SI,San Diego-Imperial,,"3,853",3823,-30
SN,Sierra Nevada,,"3,467",3455,-12
SR,Snake River,,"1,388",1387,-1
ST,South Texas,,"8,035",8129,94
US,USA Swimming,,12,14,2
UT,Utah,,"4,109",3946,-163
VA,Virginia,,"6,278",6316,38
WI,Wisconsin,,"7,032",6994,-38
WT,West Texas,,960,891,-69
WV,West Virginia,,590,640,50
WY,Wyoming,,"1,918",1912,-6
"",,,,,,% OF,,,,,,% OF,,,% OF
AGE,TOTALFEMALE NEW,RENEW FEMALE,,TOTAL FEMALE,,TOTAL ATH MALE NEW,,RENEW MALE,,TOTAL MALE,,TOTAL ATH,GRAND TOTAL,,ATH
8 & Under,"11,212","5,303",,"16,515",,"4.9% 8,833",,"4,020",,"12,853",,3.8%,"29,368",,8.7%
9,"7,618","7,732",,"15,350",,"4.6% 5,812",,"5,739",,"11,551",,3.4%,"26,901",,8.0%
10,"7,840","11,874",,"19,714",,"5.9% 5,534",,"8,707",,"14,241",,4.2%,"33,955",,10.1%
11,"7,237","15,475",,"22,712",,"6.8% 5,209",,"10,886",,"16,095",,4.8%,"38,807",,11.5%
12,"5,834","17,954",,"23,788",,"7.1% 4,327",,"12,568",,"16,895",,5.0%,"40,683",,12.1%
13,"4,247","17,891",,"22,138",,"6.6% 3,412",,"12,787",,"16,199",,4.8%,"38,337",,11.4%
14,"2,839","17,075",,"19,914",,"5.9% 2,515",,"11,859",,"14,374",,4.3%,"34,288",,10.2%
15,"1,686","13,624",,"15,310",,"4.6% 1,595",,"10,421",,"12,016",,3.6%,"27,326",,8.1%
